task_id,status,assignee
V0-GOV-013,Done,codex-v0-gov-013
V0-GOV-015,Done,codex-v0-gov-015
V1-FND-001,Done,opencode-v1-fnd-001
V1-FND-002,Done,opencode-v1-fnd-002
V1-FND-004,Done,opencode-v1-fnd-004
V1-FND-011,Done,opencode-v1-fnd-011
V1-FND-012,Done,opencode-v1-fnd-012
V1-FND-013,Done,opencode-v1-fnd-013
V1-FND-014,Done,opencode-v1-fnd-014
V1-FND-015,Done,opencode-v1-fnd-015
V1-IAM-001,Done,opencode-v1-iam-001
V1-IAM-002,Done,opencode-v1-iam-002
V1-IAM-003,Done,opencode-v1-iam-003
V1-IAM-004,Done,opencode-v1-iam-004
V1-IAM-005,Done,opencode-v1-iam-005
V1-SEC-002,Done,opencode-v1-sec-002
V1-SEC-003,Done,opencode-v1-sec-003
V1-CAT-001,Done,opencode-v1-cat-001
V1-TBL-001,Done,opencode-v1-tbl-001
