sequence,commit,authored_at,subject,canonical_task_footers,canonical_gate_footers,footer_status,changed_path_count,changed_paths,historical_scope_verdict,historical_outside_paths,current_scope_verdict,current_outside_paths,footer_disposition,source
1,8d466ba540f74025ac17e3f29d367333fd16d4c1,2026-07-30T09:39:38+03:00,V0: initial plan baseline and decision records,[],[],ROOT_EXCEPTION,267,"["".gitignore"", "".markdownlint-cli2.jsonc"", ""AGENTS.md"", ""docs/compliance/accessibility-target.md"", ""docs/domain/bill-order-cardinality.md"", ""docs/domain/lifecycle-transition-contracts.md"", ""docs/domain/payment-allocation-integrity.md"", ""docs/domain/printer-routing-precedence.md"", ""docs/domain/refund-ledger.md"", ""docs/domain/table-reservation-policy.md"", ""evidence/V0-DOM-001/completion-evidence.txt"", ""evidence/V0-DOM-002/completion-evidence.txt"", ""evidence/v0/compliance/V0-CMP-001/gib-applicability-matrix.md"", ""plan/.markdownlint-cli2.jsonc"", ""plan/ASSUMPTION_POLICY.md"", ""plan/AUDIT_BASELINE_MANIFEST.json"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/GATES.md"", ""plan/OFFICIAL_SOURCE_REGISTER.md"", ""plan/OWNERSHIP.md"", ""plan/PDF_COVERAGE.md"", ""plan/PDF_SOURCE.md"", ""plan/README.md"", ""plan/TASK_STANDARD.md"", ""plan/TRACEABILITY.md"", ""plan/VALIDATION_CONTRACT.md"", ""plan/v0/README.md"", ""plan/v0/backup-recovery/V0-BKP-001-backup-restore-proof.md"", ""plan/v0/backup-recovery/V0-BKP-002-rpo-rto-targets.md"", ""plan/v0/compliance/V0-CMP-001-gib-eadisyon-scope.md"", ""plan/v0/compliance/V0-CMP-002-money-tax-business-date.md"", ""plan/v0/compliance/V0-CMP-003-kvkk-data-inventory.md"", ""plan/v0/compliance/V0-CMP-004-restaurant-fees-and-tips.md"", ""plan/v0/compliance/V0-CMP-005-accessibility-target.md"", ""plan/v0/data-architecture/V0-DAT-001-migration-dependency-graph.md"", ""plan/v0/data-architecture/V0-DAT-002-canonical-value-catalog.md"", ""plan/v0/data-architecture/V0-DAT-003-nullable-unique-policy.md"", ""plan/v0/data-architecture/V0-DAT-004-projection-ownership.md"", ""plan/v0/data-architecture/V0-DAT-005-single-branch-key-strategy.md"", ""plan/v0/data-architecture/V0-DAT-006-migration-rehearsal-profile.md"", ""plan/v0/document-baseline/V0-DOC-001-correct-master-specification.md"", ""plan/v0/domain-contracts/V0-DOM-001-lifecycle-transition-contracts.md"", ""plan/v0/domain-contracts/V0-DOM-002-bill-order-cardinality.md"", ""plan/v0/domain-contracts/V0-DOM-003-refund-ledger.md"", ""plan/v0/domain-contracts/V0-DOM-004-payment-allocation-integrity.md"", ""plan/v0/domain-contracts/V0-DOM-005-table-reservation-policy.md"", ""plan/v0/domain-contracts/V0-DOM-006-void-complimentary-discount-policy.md"", ""plan/v0/domain-contracts/V0-DOM-007-customer-credit-invoice-semantics.md"", ""plan/v0/domain-contracts/V0-DOM-008-reporting-metric-contract.md"", ""plan/v0/domain-contracts/V0-DOM-009-receipt-variance-policy.md"", ""plan/v0/domain-contracts/V0-DOM-010-inventory-cost-basis.md"", ""plan/v0/domain-contracts/V0-DOM-011-printer-routing-precedence.md"", ""plan/v0/hugin-t300/V0-HUG-001-integration-contract.md"", ""plan/v0/licensing/V0-LIC-001-licensing-contract.md"", ""plan/v0/meal-card/V0-MCD-001-provider-contract.md"", ""plan/v0/platform-architecture/V0-ARC-001-module-dependency-rules.md"", ""plan/v0/platform-architecture/V0-ARC-002-local-first-sync-contract.md"", ""plan/v0/platform-architecture/V0-ARC-003-idempotency-inbox-outbox.md"", ""plan/v0/platform-architecture/V0-ARC-004-api-contract-standard.md"", ""plan/v0/platform-architecture/V0-ARC-005-settings-and-secret-classification.md"", ""plan/v0/platform-architecture/V0-ARC-006-notification-delivery-matrix.md"", ""plan/v0/platform-architecture/V0-ARC-007-deployment-compatibility-matrix.md"", ""plan/v0/platform-architecture/V0-ARC-008-release-evidence-contract.md"", ""plan/v0/platform-architecture/V0-ARC-009-qr-relay-topology.md"", ""plan/v0/printing/V0-PRN-001-printer-contract.md"", ""plan/v0/qnb-esolutions/V0-QNB-001-integration-contract.md"", ""plan/v0/qr-relay/V0-QRG-001-relay-threat-and-feasibility.md"", ""plan/v0/security-baseline/V0-SEC-001-security-verification-baseline.md"", ""plan/v0/yemeksepeti/V0-YSP-001-partner-api-contract.md"", ""plan/v1.1/README.md"", ""plan/v1.1/daily-menu/V11-MNU-001-daily-menu-lifecycle.md"", ""plan/v1.1/daily-menu/V11-MNU-002-menu-counter-projection.md"", ""plan/v1.1/daily-menu/V11-MNU-003-static-menu.md"", ""plan/v1.1/inventory/V11-INV-001-immutable-stock-ledger.md"", ""plan/v1.1/inventory/V11-INV-002-stock-balance-projection.md"", ""plan/v1.1/inventory/V11-INV-003-stock-reversal.md"", ""plan/v1.1/inventory/V11-INV-004-stock-master-and-locations.md"", ""plan/v1.1/inventory/V11-INV-005-manual-adjustments.md"", ""plan/v1.1/inventory/V11-INV-006-waste-recording.md"", ""plan/v1.1/inventory/V11-INV-007-reservation-balance-projection.md"", ""plan/v1.1/operations-ui/V11-UI-001-menu-and-recipe-ui.md"", ""plan/v1.1/operations-ui/V11-UI-002-production-ui.md"", ""plan/v1.1/operations-ui/V11-UI-003-inventory-and-purchasing-ui.md"", ""plan/v1.1/portion-reservation/V11-RSV-001-reservation-lifecycle.md"", ""plan/v1.1/portion-reservation/V11-RSV-002-last-portion-concurrency.md"", ""plan/v1.1/portion-reservation/V11-RSV-003-cancellation-and-waste.md"", ""plan/v1.1/production/V11-PRD-001-production-batch-lifecycle.md"", ""plan/v1.1/production/V11-PRD-002-production-stock-effects.md"", ""plan/v1.1/purchasing/V11-PUR-001-purchase-order-and-receipt.md"", ""plan/v1.1/purchasing/V11-PUR-002-supplier-master.md"", ""plan/v1.1/reporting/V11-RPT-001-menu-inventory-reports.md"", ""plan/v1.1/units-recipes/V11-RCP-001-immutable-recipe-versions.md"", ""plan/v1.1/units-recipes/V11-RCP-002-recipe-cost-snapshots.md"", ""plan/v1.1/units-recipes/V11-UNT-001-dimension-safe-units.md"", ""plan/v1.2/README.md"", ""plan/v1.2/cash/V12-CSH-001-cash-session-lifecycle.md"", ""plan/v1.2/cash/V12-CSH-002-cash-transaction-ledger.md"", ""plan/v1.2/cash/V12-CSH-003-cash-tender-handler.md"", ""plan/v1.2/fiscal/V12-FSC-001-fiscal-document-lifecycle.md"", ""plan/v1.2/fiscal/V12-FSC-002-payment-fiscal-closure-gate.md"", ""plan/v1.2/fiscal/V12-FSC-003-adisyon-strategy.md"", ""plan/v1.2/fiscal/V12-FSC-004-t300-adisyon-adapter.md"", ""plan/v1.2/fiscal/V12-FSC-005-qnb-eadisyon-adapter.md"", ""plan/v1.2/hugin-t300/V12-HUG-001-payment-request-path.md"", ""plan/v1.2/hugin-t300/V12-HUG-002-unknown-reconciliation.md"", ""plan/v1.2/hugin-t300/V12-HUG-003-refund-and-cancel.md"", ""plan/v1.2/hugin-t300/V12-HUG-004-terminal-totals-reconciliation.md"", ""plan/v1.2/meal-card/V12-MCD-001-meal-card-payment.md"", ""plan/v1.2/meal-card/V12-MCD-002-settlement-lifecycle.md"", ""plan/v1.2/meal-card/V12-MCD-003-provider-adapter.md"", ""plan/v1.2/meal-card/V12-MCD-004-meal-card-tender-orchestration.md"", ""plan/v1.2/payment-allocation/V12-ALC-001-allocation-persistence.md"", ""plan/v1.2/payment-allocation/V12-ALC-002-bill-closure-projection.md"", ""plan/v1.2/payment-allocation/V12-ALC-003-partial-refund-allocation.md"", ""plan/v1.2/payment-allocation/V12-ALC-004-refund-finalization.md"", ""plan/v1.2/payments-ui/V12-PUI-001-split-payment-ui.md"", ""plan/v1.2/payments-ui/V12-PUI-002-cash-session-ui.md"", ""plan/v1.2/payments-ui/V12-PUI-003-refund-and-payment-exceptions-ui.md"", ""plan/v1.2/payments/V12-PAY-001-payment-aggregate.md"", ""plan/v1.2/payments/V12-PAY-002-tender-command-routing.md"", ""plan/v1.2/payments/V12-PAY-003-tender-handler-composition.md"", ""plan/v1.2/payments/V12-PAY-004-card-settlement-orchestration.md"", ""plan/v1.2/reconciliation/V12-REC-001-payment-reconciliation.md"", ""plan/v1.2/reporting/V12-RPT-001-payment-cash-settlement-reports.md"", ""plan/v1.2/table-payment/V12-TBL-001-payment-aware-table-topology.md"", ""plan/v1.3/README.md"", ""plan/v1.3/accounts-ui/V13-UI-001-customer-account-ui.md"", ""plan/v1.3/accounts-ui/V13-UI-002-periodic-invoicing-ui.md"", ""plan/v1.3/accounts-ui/V13-UI-003-incoming-invoice-ui.md"", ""plan/v1.3/customer-account/V13-ACC-001-account-transaction-ledger.md"", ""plan/v1.3/customer-account/V13-ACC-002-account-balance-projection.md"", ""plan/v1.3/customer-account/V13-ACC-003-bill-account-charge.md"", ""plan/v1.3/customer-account/V13-ACC-004-account-payment-posting.md"", ""plan/v1.3/customer-account/V13-ACC-005-cash-account-receipt.md"", ""plan/v1.3/customer-account/V13-ACC-006-card-account-receipt.md"", ""plan/v1.3/customer-account/V13-ACC-007-account-payment-reconciliation.md"", ""plan/v1.3/customer-account/V13-ACC-008-customer-account-tender-integration.md"", ""plan/v1.3/customer-data/V13-CST-001-customer-pii-schema.md"", ""plan/v1.3/customer-data/V13-CST-002-customer-anonymization-state.md"", ""plan/v1.3/invoicing/V13-INV-001-periodic-source-selection.md"", ""plan/v1.3/invoicing/V13-INV-002-invoice-generation.md"", ""plan/v1.3/invoicing/V13-INV-003-line-source-traceability.md"", ""plan/v1.3/invoicing/V13-INV-004-invoice-cancellation.md"", ""plan/v1.3/purchasing/V13-PUR-001-incoming-invoice-matching.md"", ""plan/v1.3/qnb-esolutions/V13-QNB-001-registered-user-query.md"", ""plan/v1.3/qnb-esolutions/V13-QNB-002-outgoing-submission.md"", ""plan/v1.3/qnb-esolutions/V13-QNB-003-incoming-retrieval.md"", ""plan/v1.3/qnb-esolutions/V13-QNB-004-invoice-reconciliation.md"", ""plan/v1.3/qnb-esolutions/V13-QNB-005-cancellation-transport.md"", ""plan/v1.3/reporting/V13-RPT-001-account-invoice-reports.md"", ""plan/v1.4/README.md"", ""plan/v1.4/channel-mapping/V14-MAP-001-product-mapping.md"", ""plan/v1.4/channel-mapping/V14-MAP-002-status-mapping.md"", ""plan/v1.4/customer-web/V14-CWB-001-public-menu-browsing.md"", ""plan/v1.4/customer-web/V14-CWB-002-qr-order-entry.md"", ""plan/v1.4/online-operations-ui/V14-OUI-001-online-order-operations.md"", ""plan/v1.4/online-ordering/V14-ONL-001-webhook-inbox.md"", ""plan/v1.4/online-ordering/V14-ONL-002-external-order-normalization.md"", ""plan/v1.4/online-ordering/V14-ONL-003-status-and-cancellation-sync.md"", ""plan/v1.4/online-ordering/V14-ONL-004-channel-catalog-publishing.md"", ""plan/v1.4/online-ordering/V14-ONL-005-channel-availability-publishing.md"", ""plan/v1.4/qr-ordering/V14-QRO-001-pending-qr-order.md"", ""plan/v1.4/qr-ordering/V14-QRO-002-pending-table-policy.md"", ""plan/v1.4/qr-ordering/V14-QRO-003-confirmation-and-reservation.md"", ""plan/v1.4/qr-security/V14-QRS-001-qr-token-lifecycle.md"", ""plan/v1.4/qr-security/V14-QRS-002-relay-security-controls.md"", ""plan/v1.4/qr-security/V14-QRS-003-customer-session-lifecycle.md"", ""plan/v1.4/qr-transport/V14-QRT-001-public-relay-transport.md"", ""plan/v1.4/reconciliation/V14-REC-001-online-order-reconciliation.md"", ""plan/v1.4/reporting/V14-RPT-001-channel-reports.md"", ""plan/v1.4/shared-stock/V14-STK-001-cross-channel-last-portion.md"", ""plan/v1.5/README.md"", ""plan/v1.5/backup-recovery/V15-BKP-001-encrypted-offsite-backup.md"", ""plan/v1.5/backup-recovery/V15-BKP-002-restore-automation.md"", ""plan/v1.5/kvkk/V15-KVK-001-retention-execution.md"", ""plan/v1.5/kvkk/V15-KVK-002-cross-store-anonymization.md"", ""plan/v1.5/notifications/V15-NOT-001-notification-delivery.md"", ""plan/v1.5/observability/V15-OBS-001-structured-logging.md"", ""plan/v1.5/observability/V15-OBS-002-health-and-alerts.md"", ""plan/v1.5/observability/V15-OBS-003-operational-data-retention.md"", ""plan/v1.5/performance/V15-PER-001-critical-load-tests.md"", ""plan/v1.5/performance/V15-PER-002-failure-injection.md"", ""plan/v1.5/reconciliation/V15-REC-001-unified-reconciliation-read-model.md"", ""plan/v1.5/reconciliation/V15-REC-002-reconciliation-resolution.md"", ""plan/v1.5/reporting/V15-RPT-001-consolidated-reporting.md"", ""plan/v1.5/runbooks/V15-RUN-001-operational-runbooks.md"", ""plan/v1.5/runbooks/V15-RUN-002-independent-runbook-execution.md"", ""plan/v1.5/security/V15-SEC-001-secret-management.md"", ""plan/v1.5/security/V15-SEC-002-identity-hardening.md"", ""plan/v1.5/security/V15-SEC-003-sensitive-payload-protection.md"", ""plan/v1.5/support/V15-SUP-001-diagnostic-bundle.md"", ""plan/v1/README.md"", ""plan/v1/alerts/V1-ALT-001-alert-foundation.md"", ""plan/v1/billing/V1-BIL-001-bill-foundation.md"", ""plan/v1/billing/V1-BIL-002-split-design-persistence.md"", ""plan/v1/billing/V1-BIL-003-discount-fee-lines.md"", ""plan/v1/cash-design/V1-CSH-001-cash-session-design.md"", ""plan/v1/cashier-ui/V1-CUI-001-table-and-session-shell.md"", ""plan/v1/cashier-ui/V1-CUI-002-order-entry.md"", ""plan/v1/cashier-ui/V1-CUI-003-operations-and-print-status.md"", ""plan/v1/catalog/V1-CAT-001-product-catalog.md"", ""plan/v1/catalog/V1-CAT-002-effective-pricing.md"", ""plan/v1/foundation/V1-FND-001-module-skeleton.md"", ""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md"", ""plan/v1/foundation/V1-FND-003-codex-task-scope-enforcement.md"", ""plan/v1/foundation/V1-FND-004-host-migration-composition.md"", ""plan/v1/foundation/V1-FND-005-transaction-execution-boundary.md"", ""plan/v1/foundation/V1-FND-006-transaction-outbox-integration.md"", ""plan/v1/identity-authorization/V1-IAM-001-authentication.md"", ""plan/v1/identity-authorization/V1-IAM-002-authorization.md"", ""plan/v1/identity-authorization/V1-IAM-003-device-sessions.md"", ""plan/v1/kitchen-printing/V1-KIT-001-kitchen-ticket-lifecycle.md"", ""plan/v1/kitchen-printing/V1-KIT-002-printer-routing.md"", ""plan/v1/kitchen-printing/V1-KIT-003-print-queue.md"", ""plan/v1/kitchen-printing/V1-KIT-004-physical-retry-semantics.md"", ""plan/v1/operations/V1-OBS-001-observability-foundation.md"", ""plan/v1/operations/V1-OPS-001-audit-foundation.md"", ""plan/v1/operations/V1-OPS-002-backup-health-foundation.md"", ""plan/v1/orders/V1-ORD-001-order-aggregate.md"", ""plan/v1/orders/V1-ORD-002-idempotent-submit.md"", ""plan/v1/orders/V1-ORD-003-void-and-complimentary.md"", ""plan/v1/reconciliation/V1-REC-001-case-foundation.md"", ""plan/v1/reporting/V1-RPT-001-operational-report-foundation.md"", ""plan/v1/security-foundation/V1-SEC-001-secret-resolution-boundary.md"", ""plan/v1/security-foundation/V1-SEC-002-sensitive-payload-boundary.md"", ""plan/v1/settings/V1-SET-001-typed-settings.md"", ""plan/v1/table-management/V1-TBL-001-table-lifecycle.md"", ""plan/v1/table-management/V1-TBL-002-table-transfer.md"", ""plan/v1/table-management/V1-TBL-003-table-merge.md"", ""plan/v1/table-management/V1-TBL-004-table-reservation-record.md"", ""plan/v1/table-management/V1-TBL-005-current-pointer-projection.md"", ""plan/v1/waiter-pwa/V1-WTR-001-pwa-session-and-offline-queue.md"", ""plan/v1/waiter-pwa/V1-WTR-002-table-order-entry.md"", ""plan/v1/waiter-pwa/V1-WTR-003-order-status.md"", ""plan/v2.0/README.md"", ""plan/v2.0/acceptance/V20-UAT-001-service-flow-acceptance.md"", ""plan/v2.0/acceptance/V20-UAT-002-finance-inventory-acceptance.md"", ""plan/v2.0/acceptance/V20-UAT-003-recovery-exception-acceptance.md"", ""plan/v2.0/data-migration/V20-MIG-001-production-migration-rehearsal.md"", ""plan/v2.0/data-migration/V20-MIG-002-rollback-rehearsal.md"", ""plan/v2.0/documentation/V20-DOC-001-role-based-user-manual.md"", ""plan/v2.0/documentation/V20-DOC-002-technical-reference.md"", ""plan/v2.0/installer-updates/V20-INS-001-fresh-installation-package.md"", ""plan/v2.0/installer-updates/V20-INS-002-update-and-rollback-package.md"", ""plan/v2.0/integration-certification/V20-INT-001-hugin-certification.md"", ""plan/v2.0/integration-certification/V20-INT-002-qnb-certification.md"", ""plan/v2.0/integration-certification/V20-INT-003-yemeksepeti-certification.md"", ""plan/v2.0/integration-certification/V20-INT-004-meal-card-certification.md"", ""plan/v2.0/integration-certification/V20-INT-005-printer-certification.md"", ""plan/v2.0/integration-certification/V20-INT-006-qr-public-path-certification.md"", ""plan/v2.0/licensing/V20-LIC-001-approved-license-enforcement.md"", ""plan/v2.0/licensing/V20-LIC-002-license-recovery-exercise.md"", ""plan/v2.0/recovery-drill/V20-DRL-001-disaster-restore-drill.md"", ""plan/v2.0/release-gates/V20-GAT-001-requirement-trace-verification.md"", ""plan/v2.0/release-gates/V20-GAT-002-release-evidence-pack.md"", ""plan/v2.0/release/V20-REL-001-release-package.md"", ""plan/v2.0/release/V20-REL-002-pilot-rehearsal.md"", ""plan/v2.0/release/V20-REL-003-go-live-decision.md"", ""plan/v2.0/release/V20-REL-004-production-deployment.md"", ""plan/v2.0/release/V20-REL-005-post-go-live-observation.md"", ""plan/v2.0/security-compliance/V20-CMP-001-compliance-signoff.md"", ""plan/v2.0/security-compliance/V20-SEC-001-independent-security-assessment.md"", ""plan/validation-node-requirements.lock"", ""plan/validation-requirements.lock"", ""plan/validation-runtime.lock"", ""tools/plan-audit/plan_audit_tool.py""]",UNATTRIBUTED,[],UNATTRIBUTED,[],ROOT_PRE_CONVENTION_EXCEPTION,C52-frozen-2026-08-10
2,46c8d7d7dc8249b2df60e7457bbda02092882262,2026-07-30T09:40:23+03:00,"docs(versioning): define branching model, commit convention, and tagging strategy","[""V0-DOM-001""]","[""GATE-V0-ENTRY""]",CANONICAL,1,"[""docs/versioning-strategy.md""]",GATE_SCOPE_UNPROVEN,"[""docs/versioning-strategy.md""]",GATE_SCOPE_UNPROVEN,[],CANONICAL,C52-frozen-2026-08-10
3,d2105719abb21a600bd89de95317358edf50b532,2026-07-30T09:47:57+03:00,"decision: complete V0-DAT-001/002/003, V0-CMP-001/002, V0-DOM-006","[""V0-CMP-001"", ""V0-CMP-002"", ""V0-DAT-001"", ""V0-DAT-002"", ""V0-DAT-003"", ""V0-DOM-006""]","[""GATE-V0-ENTRY""]",CANONICAL,10,"[""docs/compliance/money-tax-business-date.md"", ""docs/data/canonical-value-catalog.md"", ""docs/data/migration-dependency-graph.md"", ""docs/data/nullable-unique-policy.md"", ""docs/domain/void-complimentary-discount-policy.md"", ""plan/v0/compliance/V0-CMP-001-gib-eadisyon-scope.md"", ""plan/v0/compliance/V0-CMP-002-money-tax-business-date.md"", ""plan/v0/data-architecture/V0-DAT-001-migration-dependency-graph.md"", ""plan/v0/data-architecture/V0-DAT-002-canonical-value-catalog.md"", ""plan/v0/data-architecture/V0-DAT-003-nullable-unique-policy.md""]",GATE_SCOPE_UNPROVEN,[],GATE_SCOPE_UNPROVEN,[],CANONICAL,C52-frozen-2026-08-10
4,5fe848330be3476c47edac62456856c6fa949684,2026-07-30T09:48:47+03:00,decision: complete V0-DOM-007 customer credit invoice semantics,"[""V0-DOM-007""]","[""GATE-V0-ENTRY""]",CANONICAL,1,"[""docs/domain/customer-credit-invoice-semantics.md""]",GATE_SCOPE_UNPROVEN,[],GATE_SCOPE_UNPROVEN,[],CANONICAL,C52-frozen-2026-08-10
